Tweet URL,Tweet Content,Relevant Article URL,Article supports the tweet?,Is Tweet Content Valid
https://twitter.com/MeerraChopra/status/1243518717419556866,"Ok guys now this, i have nothing to say anymore!! COVID-19: Chinese health authorities confirm patient zero ‘had sex with bats’ https://t.co/e2nM2aIWVM",https://www.boomlive.in/fake-news/fake-news-site-invents-story-about-covid-19-patient-zero-having-sex-with-bats-7407,FALSE,FALSE
https://twitter.com/Coach_Leach/status/1047275239355236352,"Lottery winner arrested for dumping $200,000 of manure on ex-boss’ lawn https://t.co/wct2j1bbK4",https://www.snopes.com/fact-check/lottery-winner-arrested-dumping-200000-manure-lawn-former-boss/,FALSE,FALSE
https://twitter.com/sguggenheim/status/995963606209527808,"Watch how the World changes, as the American President shows strength and resolve. President Trump is making History, ib front of our eyes,, every day... North Korea Agrees To Open Its Doors To Christianity https://yournewswire.com/north-korea-open-christianity/",https://www.thepoachedegg.net/2018/05/north-korea-agrees-to-open-its-doors-to-christianity.html,TRUE,FALSE
https://twitter.com/renovationship/status/967216412476497921,Donald trump ends school shootings by banning schools...,https://bangaloremirror.indiatimes.com/bangalore/others/resident-warrior-being-prepared-during-an-emergency/articleshow/63160946.cms,FALSE,FALSE
https://twitter.com/TrenditGh/status/1159154169535770625,New Jersey Brother And Sister Allowed To Marry After 10-Year-Long Court Battle. #trenditgh #puredrive http://trenditonline.com/Toptrend/new-jersey-brother-and-sister-allowed-marry-after-10-year-long-court-battle/,https://worldnewsdailyreport.com/new-jersey-brother-and-sister-allowed-to-marry-after-10-year-long-court-battle/,TRUE,FALSE
https://twitter.com/TheCapeTownWhig/status/1039214434563043328,Hairdresser arrested for making voodoo dolls from customers' hair https://buff.ly/2Qf20ng,https://leadstories.com/hoax-alert/2018/09/fake-news-hairdresser-arrested-for-making-voodoo-dolls-from-customers-hair.html,FALSE,FALSE
https://twitter.com/LatestComments/status/1271555546756366337,George Floyd: Trump 'generally' supports ending chokeholds for police - http://latestcommentary.com/george-floyd-trump-generally-supports-ending-chokeholds-for-police/ #LatestComments,https://www.bbc.com/news/world-us-canada-53026389,TRUE,TRUE
https://twitter.com/Charlotte3003G/status/1271007125163122688,Oct 2019. Not good. New Scientist has obtained a legal agreement between #Google’s health division and the UK National Health Service (#NHS) that includes provision to pass five years’ worth of #patientdata in bulk as part of a contract novation process. https://techcrunch.com/2019/10/22/google-has-used-contract-swaps-to-get-bulk-access-terms-to-nhs-patient-data/amp/?__twitter_impression=true,https://www.healthcareitnews.com/news/europe/uk-government-releases-details-covid-19-data-sharing-deals-big-tech-firms-after-legal,TRUE,TRUE
https://twitter.com/jeansnow/status/1271076357636841472,"I’ve often thought about wanting to do the same at some point in my life, more on the outskirts of Tokyo, maybe in Kamakura or Takao/Okutama. Their house looks amazing. https://t.co/9y7VDCzwBI",https://edition.cnn.com/travel/article/japanese-country-real-estate/index.html,TRUE,TRUE
https://twitter.com/WMilitaryNews/status/1271279853116043266,Read News: Trump Issues Executive Order Authorising Sanctions Against ICC Officials Over Afghanistan Probe → https://worldmilitarynews.com/u/YMvz4 Yer küre Amerika #WorldMilitaryNews,https://sputniknews.com/us/202006111079585077-trump-sanctions-against-icc-officials-over-afghanistan-probe/,TRUE,TRUE
https://twitter.com/elenaevdokimov7/status/1271383940654174214,"1/ Swedish doctor Jon Tallinger: they couldn't care less, leaving elderly COVID patients to die More than 90% of deceased from #COVID19 are Swedes over 60 years old, with over 80s took the biggest hit (>66%).",https://sputniknews.com/analysis/202006091079568117-they-couldnt-care-less-swedish-authorities-are-leaving-elderly-covid-patients-to-die-doctor-says/,TRUE,TRUE
https://twitter.com/RollingStone/status/1271585576869920770,"Taylor Swift calls for permanent removal of Tennessee monuments that ""celebrate racist historical figures"" https://t.co/ksXSGIIv0H",https://www.theguardian.com/music/2020/jun/12/taylor-swift-monuments-that-celebrate-racist-figures-make-me-sick,TRUE,TRUE
https://twitter.com/IDAddictUSA/status/1271596609294524421,Lawyer Says Buffalo Protester Pushed by Cops Has Brain Injury ⁦ @people ⁩https://t.co/qxBClv4rXz,https://news.sky.com/story/black-lives-matter-elderly-protester-suffers-brain-injury-after-being-shoved-to-the-ground-by-us-police-officers-12005559,TRUE,TRUE
https://twitter.com/WinnipegNews/status/1271489960307294208,Canada encouraging Iran to ship black boxes to France as soon as possible https://t.co/wVksBv2NvS,https://globalnews.ca/news/7060343/canada-iran-plane-crash-black-boxes/,TRUE,TRUE
https://twitter.com/MailOnline/status/1271593381408407559,"French police unionists fire blue flares with a banner reading 'No police, no peace' https://t.co/dopRNJCD9G",https://www.cbsnews.com/news/french-police-march-to-protest-reforms-aimed-at-addressing-racism-today-in-paris-2020-06-12/,TRUE,TRUE
https://twitter.com/usacustomers/status/1271536269210931207,#Arab Envoy Warns #Israelis That Annexation Threatens Warming Ties https://t.co/SoLS3YwZHl,https://www.nytimes.com/2020/06/12/world/middleeast/west-bank-annexation-israel-uae.html,TRUE,TRUE
https://twitter.com/hannaziady/status/1271489871996227586,"Beverages is the only 'food' category in which the UK has a trade surplus, largely thanks to whisky exports. Most of its fresh produce is imported from Europe. Graphic inside --> https://edition.cnn.com/2020/06/12/business/brexit-uk-border-controls/index.html via @CNNBusiness",https://www.9news.com.au/world/coronavirus-uk-post-brexit-border-checks-delayed/b1530d0c-617e-46f3-bbef-a7faac2845ff,TRUE,TRUE
https://twitter.com/trscoop/status/1271082631686488064,"Trump threatens to retake Seattle from “ugly Anarchists” if Governor, Mayor don’t… https://wp.me/pqwpd-1lqn",https://www.telegraph.co.uk/news/2020/06/12/seattle-mayor-tells-trump-go-back-bunker-escalation-tensions/,TRUE,TRUE
https://twitter.com/shehzadyounis/status/1271499646968438784,WHO says vaccine should be a global public good US stocks recover but rebound loses steam https://t.co/iEWvT0mBp6,https://www.straitstimes.com/world/europe/who-chief-tedros-calls-for-any-covid-19-vaccine-to-be-shared-as-a-public-good,TRUE,TRUE
